Country,Date,Covid Deaths,Surplus Deaths,Max Deaths,Overall Deaths
Luxembourg,2022W14,1.8380518750754914e-05,0.0,0.0,0.0
Norway,2022W14,3.078995334951104e-05,0.0,0.0,0.0
Belgium,2022W14,1.3500921308062724e-05,0.0,0.0,0.0
Portugal,2022W14,1.5083465944835428e-05,0.0,0.0,0.0
Europe**,2022W14,1.6425061683339727e-05,0.0,0.0,0.0
Serbia,2022W14,9.750351703917618e-06,0.0,0.0,0.0
Romania,2022W14,9.183232854183838e-06,0.0,0.0,0.0
North Macedonia,2022W14,1.1600883213908685e-05,0.0,0.0,0.0
Montenegro,2022W14,5.369943459865311e-06,0.0,0.0,0.0
Switzerland,2022W14,1.0726272447320162e-05,0.0,0.0,0.0
Estonia,2022W14,2.631444407353609e-05,0.0,0.0,0.0
Ireland,2022W14,1.4981051965474068e-05,0.0,0.0,0.0
Cyprus,2022W14,2.380933779907225e-05,0.0,0.0,0.0
Bulgaria,2022W15,1.701234006713561e-05,0.0,0.0,0.0
Sweden,2022W15,1.3359931157816274e-05,0.0,0.0,0.0
Netherlands,2022W15,5.131017870915607e-06,0.0,0.0,0.0
Italy,2022W15,1.6330100868084414e-05,0.0,0.0,0.0
Poland,2022W15,8.958773547601123e-06,0.0,0.0,0.0
Malta,2022W15,2.777239553058193e-05,0.0,0.0,0.0
Denmark,2022W15,2.2945028677005057e-05,0.0,0.0,0.0
Austria,2022W15,2.6905000941861614e-05,0.0,0.0,0.0
France,2022W15,1.2031331953287334e-05,0.0,0.0,0.0
Hungary,2022W15,2.0793142962689222e-05,0.0,0.0,0.0
Finland,2022W15,3.204553067549389e-05,0.0,0.0,0.0
Greece,2022W15,4.123499464475724e-05,0.0,0.0,0.0
Lithuania,2022W15,2.2773231080333468e-05,0.0,0.0,0.0
Slovenia,2022W15,1.3434633632008946e-05,0.0,0.0,0.0
Czechia,2022W15,1.4109806249934006e-05,0.0,0.0,0.0
Albania,2022W15,5.889820540702018e-07,0.0,0.0,0.0
Germany,2022W15,1.8351264880173033e-05,0.0,0.0,0.0
Spain,2022W15,6.23083258586198e-06,0.0,0.0,0.0
Iceland,2022W15,1.1750074115852115e-05,0.0,0.0,0.0
Slovakia,2022W15,2.869467963397555e-05,0.0,0.0,0.0
United Kingdom,2022W15,2.0110898928873815e-05,0.0,0.0,0.0
